scenario,exact_eq,mc_mean,mc_ci_low,mc_ci_high
S1_AKs_vs_QQ_preflop,0.46202485072744093,0.4621657,0.46183554877403193,0.4624958512259681
S2_AKs_vs_QQ_vs_78c_preflop,0.3920788607340454,0.3920999333333333,0.3917994865930577,0.39240038007360895
S3_postflop_known_flop,0.04251207729468599,0.0425594,0.042440222837274104,0.04267857716272589
