estimate,time_s
0.462045,1.456702800001949
0.46247,1.419803700002376
0.46296,2.2039817000040784
0.464095,2.698493200005032
0.46151,2.4970659999526106
0.460545,2.5336822000099346
0.46251,2.9523961000377312
0.460345,2.480846200021915
0.46005,2.4968466999707744
0.461715,2.720891800010577
0.46168,2.5428315999452025
0.462155,2.6716157000046223
0.46144,2.3798919999971986
0.46324,2.294267299992498
0.463405,2.6980066999676637
0.464315,2.638496799976565
0.462805,2.4041434000246227
0.4597,1.9916654000408016
0.463075,2.2908323999727145
0.46207,2.2775568999932148
0.457905,2.4823976999614388
0.46316,2.416185999987647
0.463335,2.49373009998817
0.4602,2.6814317000098526
0.4613,2.539995600003749
0.464715,2.393203000014182
0.463115,2.619613999966532
0.4608,2.549354500020854
0.46013,2.240059200034011
0.462,2.1402406000415795
0.45969,2.1443544999929145
0.463095,2.3799500000313856
0.463545,2.4579899999662302
0.463305,2.3310743999900296
0.46215,2.2440574999782257
0.46009,2.763678900024388
0.463925,2.8935083000105806
0.463895,2.392010899959132
0.460145,2.5215451000258327
0.46008,2.647237800003495
0.459845,1.9942893999977969
0.46437,1.7279001999995671
0.462325,1.829583199985791
0.46315,1.9464983000070788
0.463015,2.054456799989566
0.45952,1.9537015999667346
0.462845,1.9343425999977626
0.461045,2.0401407000026666
0.463445,2.27509100001771
0.462155,2.296236299967859
0.462525,2.5127442000084557
0.463535,2.0774667000514455
0.46002,2.1203596999985166
0.45924,2.0969269000343047
0.46093,2.124375500017777
0.46157,2.8235539000015706
0.45968,2.394400199991651
0.465895,2.0676953999791294
0.461955,2.647059899987653
0.46339,2.6398003000067547
0.45942,2.6661648000008427
0.463455,2.336095100035891
0.462905,2.006417100026738
0.461035,1.7691984999692068
0.461545,1.7060839000041597
0.46207,1.6999451000010595
0.461715,2.4116527999867685
0.46259,2.768488299974706
0.462095,3.0549426000216044
0.465175,4.300058199965861
0.462135,3.7898920999723487
0.463655,3.043987900018692
0.4601,2.7024906000006013
0.46416,3.0269888000329956
0.464025,2.696624000032898
0.4653,2.636749900004361
0.46041,2.4476385000161827
0.460595,2.80871880002087
0.46116,2.64189810003154
0.46245,2.626647499972023
0.46427,2.6348278999794275
0.462815,2.476514199981466
0.460775,2.494422499963548
0.465385,2.3924043999868445
0.46341,2.592456000042148
0.461455,2.943874299991876
0.461845,2.389563900011126
0.459645,2.3037530000437982
0.461385,2.4742623000056483
0.46443,2.995453500014264
0.46305,2.8289009000291117
0.46024,2.954214899975341
0.4646,2.7075195999932475
0.462895,2.674243099987507
0.46429,2.2763548999791965
0.45974,2.096419200010132
0.464255,2.1180795000400394
0.46523,2.546096000005491
0.46065,2.4844325999729335
0.461045,2.4878718000254594
