estimate,time_s
0.04324,2.1524542000261135
0.0415,2.040204300021287
0.04257,1.5905137000372633
0.04198,1.653342000034172
0.04199,2.0482406999799423
0.04322,1.8915159999742173
0.04278,1.8208669999730773
0.04315,1.8378900000243448
0.04194,1.866692100011278
0.04268,1.5881196000264026
0.04133,1.9098824000102468
0.04261,1.740518599981442
0.04304,1.6777795000234619
0.0426,1.6160384000395425
0.04381,1.5707617999869399
0.04231,1.5124723000335507
0.04284,1.6818070000153966
0.04252,1.502702399971895
0.04368,1.4221812000032514
0.04291,2.0187751000048593
0.04236,1.7967126999865286
0.04395,1.8724469000007957
0.04335,2.0574725000187755
0.04257,1.7698363999952562
0.0426,1.8567113000317477
0.0422,2.2601704000262544
0.04303,2.2547916000476107
0.04186,2.1357981000328436
0.04196,1.9456807000096887
0.04277,2.0684053999721073
0.04252,1.9557206999743357
0.04308,1.9828507999773137
0.04174,1.7619822999695316
0.04305,2.0232186999637634
0.04234,2.032273399992846
0.04201,1.8934102999628522
0.04285,1.9248778999899514
0.04189,2.0447879999992438
0.04318,1.9161787999910302
0.04333,2.1453796999994665
0.04141,2.061708999972325
0.04181,2.2156164000043646
0.04358,2.00324809999438
0.04318,1.861515500000678
0.0433,1.6600737000117078
0.04335,1.7330206999904476
0.04286,1.7631287000258453
0.04252,1.4140021000057459
0.04271,1.494620399957057
0.04265,1.4683098000241444
0.04249,1.5964332000003196
0.04236,1.6367195000057109
0.0425,1.61335830000462
0.04334,1.7584720000158995
0.04277,1.9103743000305258
0.04281,2.025197200011462
0.04237,2.0427295999834314
0.04272,2.1025759000331163
0.04314,2.076686999993399
0.04172,1.965816600015387
0.04143,1.9161804000032134
0.04248,1.8518480000202544
0.04137,1.8563911000383087
0.04229,1.9608087000087835
0.04227,2.046609700017143
0.04255,2.0671129999682307
0.04253,1.873739599948749
0.0427,1.8551105000078678
0.04347,1.8614552000071853
0.04263,1.8240615000249818
0.04193,1.9970703999861144
0.0425,1.8866086999769323
0.042,1.9172690999694169
0.04214,1.938977999961935
0.04198,2.0096406000084244
0.04158,2.0115566999884322
0.04258,2.1977667000028305
0.0428,1.7377031000214629
0.04358,1.734022399992682
0.04195,1.690250499988906
0.04238,1.8693307000212371
0.04314,1.8098631000029854
0.04268,1.870442399987951
0.04294,2.0247747999965213
0.04207,1.9662381000234745
0.04172,1.7251565999467857
0.04298,1.493952699995134
0.04136,1.9314478000160307
0.04287,1.967357899993658
0.04323,2.0032919999794103
0.04393,1.7455011999700218
0.04294,1.618006000004243
0.04303,1.6254779999726452
0.04201,1.5278288999688812
0.04214,1.8349949999828823
0.04252,1.5173790999688208
0.04224,1.8318661999655887
0.04171,1.870892399980221
0.04196,1.9211567999445833
0.0424,1.355351900041569
